city,country,x3,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x33,x36,x38,x39,x41,x47,x48,x49,x50,x51,x52,x53,x54,x55,country_name,continent_name,wage_span,median_salary,average_salary,lowest_salary,highest_salary,Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Seoul,South Korea,6.15,2.2,2.85,3.53,4.04,11.54,10.58,41.61,6.77,3.71,6.5,6.19,3.84,2.92,2.45,1.05,1.43,182.13,22.48,55.88,9.6,110.36,742.54,557.52,2669.12,1731.08,22067.7,10971.9,2689.62,3.47,,,,,,,,115.0,South Korea,73.22,20.02,48.28,91.95,42.1,76.85
Shanghai,China,5.69,2.74,2.61,1.22,2.22,18.35,4.86,13.12,2.26,1.6,2.19,1.53,0.84,1.04,0.83,0.64,1.2,66.0,17.07,63.49,8.54,123.51,1091.93,569.88,2952.7,1561.59,17746.11,9416.35,1419.87,5.03,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Guangzhou,China,4.98,1.91,1.63,1.03,1.71,9.0,3.77,11.75,2.02,1.44,1.82,1.31,0.74,1.0,0.49,0.51,1.19,59.65,16.66,34.17,8.54,43.89,533.28,317.45,1242.24,688.05,12892.82,5427.45,1211.68,5.19,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Mumbai,India,3.68,0.75,0.5,0.83,0.95,5.88,3.69,5.95,2.09,0.67,1.34,0.59,0.44,0.44,0.65,0.35,1.35,43.57,9.33,25.37,4.3,41.17,522.4,294.05,1411.12,699.8,6092.45,2777.51,640.81,7.96,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Delhi,India,4.3,0.73,0.5,0.85,1.02,4.36,3.81,5.71,1.79,0.75,1.03,0.61,0.37,0.41,0.7,0.36,1.24,58.07,7.95,21.2,4.91,36.5,229.84,135.31,601.02,329.15,2506.73,1036.74,586.46,8.06,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Dhaka,Bangladesh,4.88,0.83,0.67,0.69,1.32,7.21,3.07,7.19,2.38,1.04,2.18,0.96,0.28,0.49,0.41,0.27,1.1,37.06,21.9,17.24,4.88,41.53,142.09,87.79,347.57,208.5,1119.98,571.72,280.73,9.26,Bangladesh,Asia,Monthly,218.57,236.71,59.68,1052.06,11.0,Bangladesh,33.13,4.42,19.67,30.41,21.7,25.3
Osaka,Japan,5.36,1.41,1.47,4.92,1.9,11.09,6.93,22.46,4.09,1.85,3.87,6.34,3.31,2.01,1.53,0.98,1.24,128.77,32.15,65.2,13.84,132.61,674.96,376.14,1737.21,993.17,8043.38,4825.58,2322.46,1.49,Japan,Asia,Monthly,3158.67,3453.12,869.97,15391.82,62.0,Japan,77.03,25.86,53.04,81.31,45.4,87.11
Jakarta,Indonesia,3.57,1.3,1.2,0.83,1.71,6.9,3.52,8.49,2.99,1.6,2.13,1.3,1.42,2.05,1.13,0.44,0.81,83.88,31.57,30.89,3.24,79.85,505.59,277.43,1172.14,615.04,2632.8,1241.09,509.12,9.05,Indonesia,Asia,Monthly,678.91,788.83,198.5,3504.47,54.0,Indonesia,35.85,9.82,23.65,38.29,17.74,21.07
Shenzhen,China,4.98,2.23,2.4,1.0,2.13,13.67,4.37,15.56,1.97,1.47,1.81,1.45,1.06,1.16,0.9,0.55,1.19,67.63,18.21,51.65,7.12,106.77,738.75,435.07,1682.3,886.16,17898.73,8091.57,1572.22,4.99,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Kinshasa,Congo,10.08,2.0,1.33,5.17,4.15,9.5,5.0,20.0,10.0,3.25,5.25,6.33,3.6,2.83,1.67,2.0,1.22,553.99,300.0,97.5,10.0,93.33,2000.0,725.0,4500.0,1160.0,6170.63,933.33,400.0,19.33,Congo,Africa,Monthly,1058.67,1205.3,302.94,5365.86,,,,,,,,
Bangkok,Thailand,5.76,1.65,1.91,1.45,2.0,16.97,3.08,12.16,2.88,1.41,1.93,1.53,1.52,1.27,1.19,0.47,1.21,79.55,15.46,57.33,7.63,96.88,594.58,285.95,2044.33,961.21,5534.11,2578.84,629.84,5.64,Thailand,Asia,Monthly,2432.28,2662.11,670.31,11846.79,124.0,Thailand,43.21,14.69,29.84,45.15,22.59,31.56
Karachi,Pakistan,3.8,0.8,0.46,1.09,1.14,4.88,2.83,4.02,1.09,0.56,0.83,0.74,0.31,0.46,0.32,0.35,1.05,66.56,20.72,16.52,4.47,27.61,113.5,76.65,268.71,170.09,760.64,412.03,166.86,14.9,Pakistan,Asia,Monthly,245.34,284.9,71.83,1266.61,93.0,Pakistan,19.92,3.91,12.42,17.81,15.54,26.63
Cairo,Egypt,4.07,0.82,0.52,0.73,1.29,3.28,3.96,7.62,1.18,0.66,0.42,0.31,0.34,0.27,0.24,0.22,0.4,26.53,16.37,23.44,4.48,48.65,196.83,117.45,400.03,233.92,549.42,380.62,200.4,10.87,Egypt,Africa,Monthly,254.53,298.51,75.36,1329.24,36.0,Egypt,29.52,5.82,18.41,27.42,23.42,21.54
Sao Paulo,Brazil,6.71,1.29,1.56,1.22,2.28,10.27,4.57,9.71,2.12,1.48,1.07,1.92,1.32,1.31,0.91,0.55,1.26,69.27,21.55,25.04,8.62,65.93,567.7,341.37,990.82,687.44,2542.37,1666.86,445.67,9.4,Brazil,South America,Monthly,1490.04,1711.16,432.27,7609.56,20.0,Brazil,33.24,8.27,21.54,28.16,25.24,27.85
Mexico City,Mexico,6.7,1.32,2.02,1.41,1.97,7.74,6.32,9.43,2.48,1.3,1.45,1.5,1.57,1.44,0.99,0.83,1.2,48.85,26.67,45.15,4.64,86.26,766.53,481.56,1480.77,850.84,2769.15,1695.8,718.92,10.57,Mexico,Central America,Monthly,1681.97,1917.34,482.78,8495.98,79.0,Mexico,35.35,12.55,24.66,34.82,32.67,38.62
Lagos,Nigeria,6.75,3.59,1.37,2.84,2.15,4.88,5.5,5.91,3.15,2.03,1.76,2.77,2.77,1.75,1.34,0.55,0.39,28.27,52.83,40.01,7.88,68.08,1406.6,714.57,4929.84,2251.39,746.59,301.12,214.64,17.5,Nigeria,Africa,Monthly,389.85,438.91,110.63,1949.27,89.0,Nigeria,30.49,35.99,33.07,33.65,20.92,9.34
Kolkata,India,3.68,0.63,0.37,0.69,0.92,5.04,3.05,6.38,1.88,0.65,1.19,0.64,0.4,0.44,0.37,0.34,1.33,31.81,7.47,18.61,3.56,34.08,148.65,84.89,388.92,248.24,1038.75,587.51,532.21,8.25,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Beijing,China,5.69,2.01,2.17,1.25,1.94,13.04,3.95,12.8,2.03,1.89,1.98,1.48,0.88,1.0,0.88,0.64,1.2,55.64,20.83,57.48,8.54,122.09,1199.13,673.25,2784.82,1453.74,17761.99,9644.53,1562.35,4.94,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Moscow,Russia,6.4,1.41,0.83,1.87,1.84,13.14,5.61,11.19,1.68,1.31,1.81,2.86,0.8,0.73,1.47,0.85,0.85,145.92,8.3,52.91,8.0,150.35,1141.4,664.37,2194.87,1164.92,7750.96,4203.06,1452.41,10.31,Russia,Europe,Monthly,975.51,1065.68,268.47,4744.34,104.0,Russia,35.26,13.09,24.87,29.86,34.56,37.41
Tokyo,Japan,5.21,1.44,1.59,3.41,1.93,15.22,8.3,23.42,7.23,3.18,5.95,5.33,4.45,4.18,1.49,0.99,1.24,171.22,32.85,73.85,13.4,105.9,1140.47,662.76,2526.51,1371.4,9144.73,5480.97,2868.8,1.1,Japan,Asia,Monthly,3158.67,3453.12,869.97,15391.82,62.0,Japan,77.03,25.86,53.04,81.31,45.4,87.11
Manila,Philippines,3.59,1.67,1.24,0.9,1.77,5.33,4.21,6.96,2.7,1.4,3.04,1.45,1.74,1.75,1.35,0.65,1.4,98.89,37.97,50.24,5.74,65.07,541.63,278.1,1704.49,712.56,3578.46,2634.92,429.13,7.8,Philippines,Asia,Monthly,728.78,790.54,199.4,3511.56,98.0,Philippines,37.06,9.59,24.18,37.84,20.61,21.47
New York,United States,10.0,1.26,4.11,8.03,3.93,16.85,17.88,20.57,5.62,2.59,4.98,6.22,4.04,3.73,2.68,2.51,1.29,180.61,69.77,104.82,18.0,145.62,3851.51,2347.1,7146.84,4279.34,14784.44,9531.27,5944.31,5.4,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Istanbul,Turkey,4.29,1.03,0.5,1.67,1.81,6.32,4.18,9.08,0.86,1.72,1.09,0.89,0.61,0.53,0.64,0.31,1.31,68.88,8.9,26.37,3.76,62.09,554.82,316.01,1040.98,649.93,2374.69,1191.15,383.04,23.8,Turkey,Asia,Monthly,254.1,286.13,72.08,1274.12,127.0,Turkey,28.31,6.63,18.15,22.64,18.4,32.88
Buenos Aires,Argentina,5.0,0.77,1.29,0.95,1.37,6.54,4.0,6.42,1.36,1.2,0.73,1.41,0.64,0.73,1.06,0.73,0.97,48.19,21.87,23.63,5.0,89.76,311.84,225.84,627.35,444.68,2518.29,2074.45,403.51,45.0,Argentina,South America,Monthly,110.28,129.42,32.57,577.13,4.0,Argentina,34.69,7.71,22.04,28.17,33.32,30.72
Bangalore,India,4.3,0.58,0.57,0.76,0.98,6.54,3.83,6.61,2.38,0.72,1.16,0.46,0.44,0.44,0.57,0.36,1.29,24.93,10.75,20.33,4.91,37.25,240.59,145.91,639.32,355.79,1638.59,810.46,969.96,7.97,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Lahore,Pakistan,3.58,0.69,0.67,0.96,1.05,5.72,2.83,3.88,1.2,0.68,0.71,0.67,0.33,0.39,0.27,0.31,1.08,92.43,23.83,16.09,4.47,37.77,112.52,70.74,244.49,187.01,465.59,306.08,164.01,12.9,Pakistan,Asia,Monthly,245.34,284.9,71.83,1266.61,93.0,Pakistan,19.92,3.91,12.42,17.81,15.54,26.63
Chennai,India,4.91,0.61,0.5,0.68,0.85,6.15,3.19,5.8,2.5,0.78,1.35,0.51,0.5,0.45,0.63,0.37,1.32,33.92,9.48,17.77,2.46,34.67,180.73,107.59,439.84,259.71,1948.95,690.3,552.68,7.78,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Chengdu,China,5.05,1.97,1.46,1.17,2.15,14.8,6.16,13.33,2.01,1.43,1.39,1.16,0.77,0.83,0.48,0.62,1.19,36.49,10.57,40.16,5.69,90.75,438.93,256.24,811.42,448.42,3855.3,2201.05,802.58,5.08,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
London,United Kingdom,8.61,1.35,1.25,2.15,2.93,7.92,8.19,12.3,2.59,1.46,2.25,2.87,1.41,1.43,1.04,1.38,2.16,299.36,35.92,52.08,14.76,104.69,2417.07,1750.5,4000.78,2832.24,14704.63,8657.28,4033.84,2.97,United Kingdom,Europe,Monthly,6300.0,7235.37,1829.27,32214.63,131.0,United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78
Wuhan,China,5.69,1.72,1.78,0.9,1.73,12.81,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,1.19,40.46,14.71,43.66,5.55,76.81,350.19,177.94,896.84,373.68,3559.63,2306.15,963.86,4.99,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Hyderabad,India,5.53,0.74,0.56,0.68,0.89,5.79,3.56,6.79,2.66,0.71,1.31,0.54,0.45,0.41,0.72,0.37,1.38,28.69,8.87,23.21,3.68,39.26,173.77,110.68,432.93,276.74,1132.49,629.51,531.45,7.87,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Tehran,Iran,4.98,0.81,0.53,3.72,1.3,4.05,3.19,8.11,1.12,1.38,1.11,0.66,0.6,0.5,0.51,0.3,0.72,21.1,13.96,20.43,1.5,91.91,541.33,428.83,1337.72,921.78,2183.1,1280.31,294.97,20.0,Iran,Asia,Monthly,932.63,1070.97,269.53,4770.47,55.0,Iran,37.39,17.05,27.85,29.46,25.18,17.98
Paris,France,10.54,1.24,2.11,2.29,3.67,17.51,13.01,23.13,3.18,2.13,2.85,3.88,2.3,2.26,1.53,0.85,2.13,199.44,31.36,37.7,13.17,136.1,1365.19,1004.57,3027.12,2065.93,13043.59,9239.64,2752.34,1.69,France,Europe,Monthly,3769.56,4377.38,1100.42,19467.23,42.0,France,74.13,25.33,51.26,73.64,71.84,85.41
Nagoya,Japan,5.21,1.51,1.37,3.72,1.81,15.49,9.06,18.61,6.2,2.29,3.96,6.33,4.09,2.26,1.41,0.81,1.23,206.04,31.57,67.01,13.4,96.79,844.28,440.51,3190.79,3350.33,3494.13,2009.97,2444.12,1.0,Japan,Asia,Monthly,3158.67,3453.12,869.97,15391.82,62.0,Japan,77.03,25.86,53.04,81.31,45.4,87.11
Ho Chi Minh City,Vietnam,4.08,1.49,1.17,0.93,1.52,10.24,3.42,11.65,3.26,1.05,1.37,1.2,1.31,1.44,1.02,0.51,1.11,74.15,11.48,26.72,3.67,96.65,493.77,292.91,1207.45,611.02,4404.92,1947.26,487.51,9.11,Vietnam,Asia,Monthly,612.57,711.24,179.25,3161.52,136.0,Vietnam,37.48,13.22,26.11,38.7,19.98,29.38
Los Angeles,United States,10.0,1.14,3.8,5.64,3.84,12.63,11.58,17.89,4.15,1.78,3.46,4.23,2.76,2.22,1.79,2.0,1.59,140.05,67.95,45.73,15.99,133.0,2527.29,1973.0,4630.53,3599.83,9219.44,6135.43,5456.15,5.18,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Lima,Peru,5.22,1.22,1.83,1.11,1.81,6.89,4.99,8.2,1.54,1.02,0.93,0.98,0.74,0.89,0.72,0.72,1.31,71.32,30.91,37.19,5.48,68.37,511.24,349.69,954.12,701.14,1962.17,1483.1,489.76,8.29,Peru,South America,Monthly,1825.86,1997.36,503.96,8891.82,97.0,Peru,32.53,11.22,22.54,30.71,21.53,28.17
Rio de Janeiro,Brazil,6.71,1.07,1.53,1.19,1.9,8.28,3.72,8.41,1.86,1.22,1.05,1.69,1.09,1.0,0.58,0.55,1.38,93.12,20.1,27.66,6.71,58.49,396.55,254.46,795.11,573.98,2116.26,1293.93,363.15,9.68,Brazil,South America,Monthly,1490.04,1711.16,432.27,7609.56,20.0,Brazil,33.24,8.27,21.54,28.16,25.24,27.85
Tianjin,China,6.41,1.91,1.55,0.95,1.25,14.59,2.96,10.56,1.25,1.37,1.36,1.12,0.74,0.74,0.71,0.67,1.2,76.64,11.08,42.71,7.12,74.69,391.48,275.22,1085.46,569.42,5576.09,3558.87,875.36,5.2,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Nanyang,China,4.27,2.33,1.11,0.59,1.09,12.228356164383557,4.63,6.41,1.19,0.85,1.42,0.81,0.38,0.36,0.71,0.57,1.17,67.77,8.12,39.833448275862054,5.34,110.32,358.41375,113.88,802.5032758620683,456.57107142857154,5777.72543859649,3069.4907272727282,427.06,5.17,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Shijiazhuang,China,4.98,1.42,1.42,0.71,1.25,11.39,2.96,9.96,0.85,1.37,0.71,0.71,0.43,0.43,0.21,0.43,1.16,76.64,9.11,38.55,5.69,49.82,213.53,128.12,427.06,284.71,2562.39,1850.61,854.13,5.2,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Zhengzhou,China,4.27,1.77,1.71,0.73,1.48,17.79,2.33,10.92,1.0,0.95,0.85,0.89,0.59,0.49,0.33,0.57,1.16,52.99,9.68,80.67,6.41,110.32,266.92,163.71,519.6,330.97,2746.29,1783.41,586.03,5.47,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Luanda,Angola,10.51,2.49,2.58,1.54,3.68,5.46,8.61,16.6,4.5,0.76,3.47,3.34,2.5,2.17,1.18,0.48,0.33,30.78,192.23,40.05,4.84,208.25,220.39,80.85,6880.05,346.62,5421.61,3448.79,1428.77,25.0,Angola,Africa,Monthly,284.39,314.39,79.32,1403.96,,,,,,,,
Weifang,China,5.34,1.78,1.07,1.0,1.6993749999999999,8.54,3.13,8.54,1.14,1.2897435897435898,1.14,0.85,0.71,0.57,0.43,0.57,1.16,45.79,6.41,39.833448275862054,5.69,85.41,358.41375,233.11122807017554,802.5032758620683,456.57107142857154,5777.72543859649,3069.4907272727282,854.8433333333334,4.5,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Linyi,China,4.27,1.71,1.11,0.59,1.09,12.228356164383557,3.42,6.41,1.19,0.85,1.42,0.81,0.38,0.36,0.71,0.57,0.95,67.77,8.12,39.833448275862054,5.34,110.32,213.53,113.88,640.6,355.89,2135.32,996.48,569.42,5.0,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Chicago,United States,10.0,0.84,3.18,3.73,2.98,12.21,10.47,16.15,5.15,1.58,3.15,3.78,1.84,2.08,1.66,2.06,1.39,163.78,62.56,58.26,15.0,95.95,1969.12,1452.61,3972.22,2450.0,3498.0,2389.59,4819.49,5.59,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Hanoi,Vietnam,5.3,1.36,0.92,1.0,1.49,10.59,3.48,10.5,2.74,1.09,1.52,1.18,0.99,1.19,0.8,0.6,1.11,74.36,9.66,25.41,4.08,59.97,329.82,206.7,865.47,458.27,2255.75,1285.06,510.15,9.86,Vietnam,Asia,Monthly,612.57,711.24,179.25,3161.52,136.0,Vietnam,37.48,13.22,26.11,38.7,19.98,29.38
Chongqing,China,4.84,1.83,1.36,0.93,1.88,9.73,3.63,12.74,1.71,1.3,1.32,1.07,0.64,1.21,0.47,0.54,1.19,45.92,10.91,27.51,4.98,55.52,273.32,167.27,444.93,309.62,2763.72,1850.61,747.36,5.33,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Ganzhou,China,6.26,1.38,3.14,0.93,1.42,12.228356164383557,2.8,4.41,2.28,1.28,1.42,1.0,0.46,0.44,0.46,0.53,1.28,42.69,13.52,88.97,5.69,45.08,358.41375,156.59,996.48,298.95,2704.74,1850.61,854.8433333333334,3.75,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Ahmedabad,India,3.68,0.71,0.54,0.71,1.05,6.21,3.57,6.21,1.91,0.58,1.07,0.6,0.35,0.45,0.77,0.35,1.23,39.47,7.89,15.83,3.07,35.56,461.38,393.19,459.7,292.04,1038.45,494.32,433.96,7.79,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Pune,India,4.3,0.74,0.49,0.7,0.95,6.16,3.32,6.02,2.15,0.68,1.28,0.57,0.41,0.41,0.59,0.36,1.39,25.46,9.57,20.63,3.68,34.39,219.79,134.73,485.56,312.84,1690.47,977.18,803.85,8.0,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Foshan,China,4.98,1.76,1.63,0.78,1.71,14.24,2.89,11.75,1.85,1.44,1.82,1.31,0.74,1.0,0.49,0.51,1.19,49.82,16.66,64.06,6.05,28.47,355.89,203.09,616.87,427.06,5456.94,2491.21,960.9,5.19,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Tongshan,China,4.98,1.72,1.78,0.9,1.82,5.69,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,1.19,40.46,14.71,28.47,5.55,74.02,384.36,234.89,703.08,380.8,2348.85,1459.14,727.43,4.46,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Changchun,China,4.73,1.61,1.2,0.9,1.45,10.68,2.81,11.39,1.39,0.71,1.21,0.9,0.57,0.71,0.57,0.57,1.16,53.62,11.86,42.11,8.54,118.63,320.3,220.65,640.6,462.65,1708.26,5478.2,1263.76,5.63,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Nanjing,China,4.63,2.23,1.67,1.1,1.86,7.83,3.68,11.7,1.45,1.6,1.99,1.41,1.01,1.2,0.93,0.53,1.18,56.41,6.69,22.38,6.83,81.84,506.84,298.98,1174.54,634.96,7231.63,3607.11,1146.18,5.24,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Bogota,Colombia,4.62,0.87,0.99,0.82,1.52,4.02,3.69,5.36,1.95,0.76,0.95,0.92,0.78,0.71,0.55,0.58,0.52,67.58,19.69,17.95,3.36,55.89,335.29,260.61,611.61,449.51,1444.09,1169.72,299.87,11.76,Colombia,South America,Monthly,995.6,1157.85,292.53,5137.79,27.0,Colombia,26.72,8.18,18.03,23.47,19.44,28.85
Kuala Lumpur,Malaysia,4.1,1.7,0.83,1.37,1.74,10.02,3.72,9.37,2.61,1.53,2.82,1.43,1.03,0.95,0.9,0.64,0.48,53.07,25.49,40.72,4.44,59.83,438.4,281.68,999.84,520.54,2272.27,1200.26,1290.67,3.67,Malaysia,Asia,Monthly,1236.17,1406.38,355.32,6255.32,75.0,Malaysia,37.02,9.87,24.29,39.45,20.84,55.3
Hefei,China,4.98,1.58,1.57,0.88,1.37,9.02,4.27,9.83,1.7,0.98,0.98,0.88,0.64,0.39,0.38,0.81,1.17,89.91,17.08,41.28,5.69,56.94,275.22,142.35,569.42,332.16,3985.94,1708.26,965.48,4.86,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Dongguan,China,4.98,2.26,1.82,0.84,2.02,7.83,4.84,9.96,2.28,1.59,1.19,1.09,0.71,0.9,0.71,0.54,1.19,42.81,12.74,67.22,4.98,40.33,338.09,119.22,806.68,373.68,4840.06,3226.71,889.72,4.91,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Jinan,China,4.27,1.91,1.11,0.59,1.09,14.59,2.96,6.41,1.19,0.85,1.36,0.81,0.38,0.36,0.71,0.57,1.17,67.77,8.12,72.6,5.34,74.69,289.67,215.43,552.56,410.78,4270.65,1565.9,782.95,5.17,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Hong Kong,Hong Kong,5.52,3.11,2.28,2.05,3.41,24.7,9.35,22.82,4.51,2.46,3.66,3.03,2.61,2.6,1.57,1.62,2.77,199.78,22.84,72.41,12.84,135.72,2294.53,1649.35,4623.04,3025.76,31427.61,20906.86,2994.43,2.53,Hong Kong,Asia,Monthly,4252.87,4687.1,1182.63,20817.37,50.0,Hong Kong,80.71,74.57,77.83,84.72,58.58,65.74
Dar es Salaam,Tanzania,6.64,1.03,0.58,0.94,1.93,8.79,3.74,3.92,3.04,1.05,1.06,1.12,0.83,1.08,0.77,0.47,1.13,92.87,44.53,41.33,4.29,56.79,333.22,364.59,809.6,761.37,3901.17,6000.86,264.32,13.1,Tanzania,Africa,Monthly,457.77,505.54,126.98,2245.08,123.0,Tanzania,32.81,12.36,23.23,30.04,24.86,15.97
Cangzhou,China,4.27,1.85,1.57,0.62,1.71,5.69,4.27,9.96,1.66,1.42,1.46,1.19,0.93,1.0,0.7,0.71,1.18,38.07,8.26,11.86,6.41,71.18,284.71,170.83,569.42,284.71,2562.39,1736.73,640.6,5.23,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Shenyang,China,4.73,1.61,1.2,0.9,1.45,13.88,2.81,13.52,1.39,1.19,1.78,1.49,1.14,0.88,0.74,0.61,1.19,59.83,15.66,37.96,4.63,118.63,284.71,156.59,711.77,607.38,2526.8,1376.1,836.83,5.56,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Santiago,Chile,6.79,1.06,1.33,1.46,2.88,9.74,5.76,10.74,1.68,1.42,1.61,1.82,1.21,1.18,1.05,1.09,1.34,138.18,23.72,34.63,5.94,73.85,456.08,434.77,835.52,841.57,2279.57,2272.18,638.03,6.17,Chile,South America,Monthly,1890.4,2090.56,525.98,9274.09,25.0,Chile,43.9,13.51,29.66,38.87,43.26,33.27
Xi'an,China,4.98,1.81,1.11,1.67,1.54,10.63,3.24,8.4,1.32,1.45,1.42,1.14,0.5,0.61,0.78,0.58,1.16,48.49,13.52,29.95,5.55,68.6,284.71,185.06,664.32,422.32,2633.56,2277.68,1001.23,4.91,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Zhanjiang,China,5.55,1.57,0.71,0.43,1.02,9.96,2.42,6.9,1.28,0.71,1.0,1.38,1.0,1.35,0.71,0.59,1.3,35.59,9.25,39.833448275862054,5.69,132.86,256.24,233.11122807017554,498.24,456.57107142857154,2135.32,3069.4907272727282,569.42,4.18,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Nantong,China,4.63,2.23,1.67,1.1,1.86,7.83,3.68,11.7,1.45,1.6,1.99,1.41,1.01,1.2,0.93,0.53,1.18,48.9,6.69,113.88,5.69,81.84,631.11,650.09,1672.67,680.24,9490.32,6405.97,1583.41,5.24,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
Riyadh,Saudi Arabia,6.92,1.82,0.85,2.23,2.74,6.78,7.37,12.2,2.13,1.68,1.62,1.99,1.3,1.17,1.01,0.61,0.61,92.83,72.34,96.34,17.29,93.46,752.98,486.4,1005.01,761.16,1758.36,1185.43,2215.89,4.0,Saudi Arabia,Asia,Monthly,3840.0,4480.0,1128.0,19893.33,106.0,Saudi Arabia,50.41,11.67,32.25,42.57,35.5,91.85
Nanning,China,4.48,1.57,1.67,1.25,1.34,9.96,5.79,13.29,2.28,0.71,2.18,1.14,0.5,1.42,0.81,0.59,1.3,39.99,9.49,32.03,5.69,132.86,358.17,113.88,405.71,234.89,7775.86,1420.34,818.54,4.18,China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21,26.0,China,41.77,16.53,29.93,46.01,28.37,59.99
