city,country,x3,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x33,x36,x38,x39,x41,x47,x48,x49,x50,x51,x52,x53,x54,x55,country_name,continent_name,wage_span,median_salary,average_salary,lowest_salary,highest_salary,Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Molde,Norway,12.84,1.72,0.82,3.0,3.08,9.25,10.28,33.22,2.0,1.82,2.52,3.75,1.8,2.34,3.39,1.94,2.12,152.84,56.8,43.1,15.31,138.71,770.63,911.31,1438.51,1233.01,2840.75,1986.69,3288.02,2.67,Norway,Europe,Monthly,4420.02,4786.34,1208.23,21281.57,91.0,Norway,100.9,34.68,69.86,97.31,105.49,83.11
Guyancourt,France,8.43,1.24,1.9,1.74,3.54,17.51,4.21,23.13,1.05,2.13,1.05,3.88,2.11,1.58,1.53,0.85,2.06,179.14,31.36,47.37,12.38,113.28,732.3631884057972,605.5365671641792,1393.6479365079367,1075.406515151515,4980.048028169013,3951.173913043479,3055.86,1.69,France,Europe,Monthly,3769.56,4377.38,1100.42,19467.23,42.0,France,74.13,25.33,51.26,73.64,71.84,85.41
Szekszard,Hungary,3.6,0.59,0.6,0.79,1.34,5.66,4.2,7.71,1.03,1.2,1.03,2.57,0.77,0.6,0.77,0.39,1.08,180.19,12.43,11.57,5.14,64.28,231.4,179.98,334.24,257.11,1349.82,835.6,616.8,4.0,Hungary,Europe,Monthly,1227.46,1344.23,339.45,5974.36,51.0,Hungary,40.66,11.91,27.18,35.19,32.82,51.98
Zaqatala,Azerbaijan,8.82,0.53,0.29,0.59,1.2,7.06,5.88,5.88,0.88,1.38,1.47,0.47,0.35,0.35,0.29,0.41,0.56,88.24,8.82,20.59,3.267777777777779,17.65,79.41,88.24,147.06,132.35,748.275,408.28833333333324,264.71,18.0,Azerbaijan,Asia,Monthly,1558.82,1741.18,441.18,7764.71,8.0,Azerbaijan,29.73,7.86,19.48,26.57,26.73,27.26
Cakovec,Croatia,4.37,0.98,0.97,1.68,1.97,7.19,5.58,8.45,1.12,1.44,1.4,2.0,0.47,0.7,0.91,0.98,1.42,139.99,21.41,41.88,6.28,73.4,327.67,282.19,577.51,420.13,2005.85,1550.82,854.22,4.5,Croatia,Europe,Monthly,1935.48,2089.76,527.35,9298.74,29.0,Croatia,48.94,13.38,32.27,41.98,41.29,47.55
Bregenz,Austria,9.48,1.32,1.78,1.49,2.92,11.84,10.75,10.54,2.37,1.4,1.69,2.05,1.33,1.66,1.25,0.54,2.07,257.48,34.64,59.71,13.7,106.96,878.12,632.25,1545.49,1501.59,6849.34,4531.1,2212.86,1.87,Austria,Europe,Monthly,3572.94,4016.91,1014.8,17864.69,7.0,Austria,71.04,27.13,50.46,65.88,66.03,77.25
Longbridge,United Kingdom,5.47,0.94,1.26,1.52,2.31,9.43,6.46,9.64,2.31,1.55,3.08,2.31,1.25,1.19,0.62,0.89,2.17,197.08,32.76,46.13,15.07,82.0,1230.0,1055.75,2132.0,2070.5,4858.5,5596.5,3612.72,3.75,United Kingdom,Europe,Monthly,6300.0,7235.37,1829.27,32214.63,131.0,United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78
Puerto Escondido,Mexico,5.41,1.17,1.5,1.13,2.01,6.7,5.02,10.31,2.45,1.16,0.79,0.89,0.77,0.77,0.98,0.63,1.14,54.75,24.07,18.91,3.09,56.73,373.88,322.31,1323.6,902.46,1108.954166666667,799.7796721311478,638.8188235294119,16.0,Mexico,Central America,Monthly,1681.97,1917.34,482.78,8495.98,79.0,Mexico,35.35,12.55,24.66,34.82,32.67,38.62
Boscoreale,Italy,8.43,0.79,1.05,1.21,2.63,7.38,7.02,7.38,2.11,1.05,2.11,1.37,3.15,2.1,1.04,0.68,2.31,144.65,31.61,47.42,8.43,105.37,526.87,474.19,948.37,737.62,2972.4798979591806,843.0,737.62,2.0,Italy,Europe,Monthly,3467.23,3868.92,972.52,17230.44,59.0,Italy,66.47,20.55,44.95,57.95,70.58,61.74
Sterling,United States,8.0,1.04,3.22,2.17,2.29,23.02,9.14,13.49,4.87,1.28,2.58,4.59,1.81,2.95,1.74,2.18,1.18,100.0,47.5,40.0,13.5,135.0,1461.2176331360947,1234.39430176565,2503.6035714285736,2072.2105687203793,3702.987788461537,2821.9793931398435,3978.667886597939,5.1448448043184625,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
